Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1940,115.007,31.26,90.124,209.423,257.064,147.311,101.522,136.576,196.293,203.656,243.597,179.033
1941,125.33,64.017,166.353,215.067,243.935,106.21,135.31,225.493,140.982,219.682,284.588,225.58
1942,242.517,77.293,105.769,169.397,167.421,123.834,151.906,174.824,279.247,212.579,207.403,105.753
1943,18.683,19.0,119.418,82.263,163.727,72.449,145.907,143.203,311.315,316.486,373.734,111.785
1944,31.405,29.461,65.462,107.373,223.656,102.903,152.867,150.716,200.761,271.224,229.377,202.425
1945,218.818,200.071,227.725,218.995,178.954,173.666,153.906,243.858,145.99,291.841,253.471,230.844
1946,156.335,221.099,170.492,214.316,166.92,65.968,87.653,99.466,169.704,253.206,210.671,144.877
1947,143.649,105.849,169.777,176.887,267.049,196.217,193.798,296.07,296.718,297.558,302.842,199.556
1948,61.174,35.067,70.931,69.064,171.948,193.902,234.287,165.945,163.371,103.95,73.685,58.496
1949,3.308,12.229,2.784,2.94,0.071,9.424,19.089,41.36,29.665,24.861,58.978,20.673
1950,21.7,94.801,132.574,206.59,177.214,203.921,229.326,268.927,245.652,181.047,165.23,64.588
1951,75.387,47.089,56.765,82.971,73.607,85.742,136.505,117.73,65.281,118.244,168.046,148.514
1952,117.587,47.525,234.796,160.898,189.343,128.761,131.934,175.937,224.026,262.691,254.514,81.621
1953,93.016,99.145,164.825,252.797,242.386,151.313,198.291,115.833,114.798,121.146,172.67,153.689
1954,129.982,134.606,170.467,283.144,208.096,236.062,271.634,201.79,236.602,318.521,254.514,292.976
1955,164.731,30.071,123.163,232.623,126.674,136.664,155.724,290.075,270.758,387.475,211.123,147.598
1956,135.689,101.001,117.866,225.519,223.299,117.882,128.844,238.419,258.475,359.928,341.399,234.038
1957,70.443,86.003,197.519,232.816,301.767,156.339,162.269,163.39,272.533,187.111,178.893,163.567
1958,54.014,58.894,146.963,138.041,277.938,124.76,88.926,252.231,284.03,322.983,224.683,69.645
1959,65.791,96.026,141.296,197.447,223.013,245.255,142.089,126.432,114.326,211.929,231.637,108.0
1960,89.962,57.952,136.935,191.567,154.148,128.926,161.801,196.756,238.533,188.843,248.742,126.394
1961,39.583,63.995,109.834,208.564,153.743,168.706,87.16,68.958,78.957,83.637,151.357,113.353
1962,97.305,30.36,144.721,113.983,161.011,104.292,62.019,239.229,157.196,198.502,231.324,79.906
1963,35.512,39.538,33.408,39.017,161.44,85.113,122.039,119.248,160.205,221.761,147.88,128.316
1964,119.768,91.773,99.141,188.326,164.99,119.965,301.968,113.986,213.831,272.35,193.218,154.163
1965,8.542,84.867,102.763,238.783,209.883,135.044,102.405,180.794,143.61,210.933,210.219,215.23
1966,208.022,135.074,181.209,216.291,338.082,131.01,169.852,214.413,219.692,312.674,312.785,274.67
1967,119.877,130.641,49.004,209.573,267.644,158.058,167.307,119.096,128.317,164.198,257.261,95.402
1968,29.297,34.282,143.612,160.404,179.049,200.218,133.233,117.983,177.362,230.294,166.864,218.364
1969,76.913,64.753,152.309,161.907,263.57,214.205,107.989,250.081,170.333,226.395,276.105,203.105
1970,72.043,27.108,135.58,153.794,170.542,202.929,140.557,159.646,213.27,196.38,173.817,178.471
1971,413.173,60.387,71.252,74.386,166.753,182.627,124.922,268.522,192.879,187.804,176.633,207.896
1972,24.608,73.525,70.956,160.555,142.091,140.731,72.33,165.161,239.319,178.492,198.642,174.42
1973,50.997,50.875,107.592,206.247,184.315,119.734,152.789,219.826,239.072,205.389,177.19,125.241
1974,35.113,68.049,38.558,121.194,186.793,132.795,194.213,191.418,223.083,191.745,168.637,115.63
1975,76.404,122.956,105.473,120.121,157.722,101.58,161.489,176.797,210.35,150.295,212.514,106.492
1976,10.759,18.479,76.426,158.044,130.748,156.669,149.75,126.28,207.027,224.49,164.534,100.962
1977,58.594,69.853,31.659,77.799,121.598,121.42,201.797,150.615,182.078,135.136,151.983,111.46
1978,82.911,38.29,94.633,101.857,130.438,75.789,130.272,179.352,165.392,219.639,198.537,57.106
1979,34.458,72.638,84.728,229.897,111.28,250.446,182.163,138.802,236.759,174.16,321.651,50.57
1980,38.566,67.688,123.36,172.423,141.686,150.618,151.101,163.466,157.51,216.26,194.852,138.962
1981,32.605,88.431,89.952,189.421,201.782,73.937,166.762,91.801,220.321,204.566,142.874,95.934
1982,29.333,64.285,165.342,237.237,193.966,111.236,133.544,142.394,131.079,203.916,181.258,107.586
1983,34.967,39.448,60.978,77.241,203.307,118.874,270.439,180.086,246.73,181.177,221.484,174.331
1984,104.066,277.627,195.277,223.33,246.103,202.169,309.474,210.72,234.446,269.015,270.229,234.836
1985,52.96,112.153,163.002,120.207,267.835,44.408,172.579,206.47,219.692,252.513,279.025,214.402
1986,147.684,86.27,191.409,227.215,175.928,142.748,150.374,107.029,295.326,269.362,243.145,117.936
1987,121.077,14.568,146.002,186.244,220.154,197.44,172.735,263.741,342.44,291.494,282.085,216.147
1988,74.769,136.045,222.304,230.434,226.85,212.287,271.322,395.839,258.857,166.191,313.237,55.45
1989,110.463,71.524,210.207,258.656,259.495,150.618,232.443,200.829,246.258,307.563,182.196,186.692
1990,73.133,55.442,85.615,197.512,221.035,152.569,185.591,143.431,256.768,276.248,295.436,187.994
1991,106.937,45.307,159.799,227.258,314.825,188.182,136.661,148.541,171.411,236.92,329.856,319.798
1992,45.908,118.35,121.98,179.827,312.347,167.945,293.579,181.35,245.405,205.302,237.86,203.667
1993,132.636,52.657,157.779,246.273,324.071,198.465,314.175,143.203,224.318,243.85,352.073,217.803
1994,47.798,89.656,234.204,186.781,303.316,217.446,91.549,172.269,165.931,175.156,280.799,105.812
1995,120.786,119.259,176.331,257.497,240.098,242.94,254.467,400.873,220.86,273.693,265.118,309.122
1996,98.068,84.945,108.602,258.012,186.222,203.789,202.758,275.226,198.134,315.879,207.786,225.61
1997,33.041,106.74,173.842,220.626,160.034,125.851,185.357,236.674,96.249,217.126,211.958,165.548
1998,86.909,76.358,168.915,149.244,233.712,227.895,295.657,413.876,255.151,211.842,224.335,241.993
1999,177.671,112.799,221.417,120.357,265.404,293.3,155.256,235.789,212.349,328.96,265.118,162.916
2000,131.436,117.866,204.664,318.019,133.703,195.291,201.381,181.123,266.582,146.094,268.665,249.001
2001,201.298,121.33,173.054,343.837,197.23,207.261,198.031,223.014,278.394,209.59,263.38,282.625
2002,49.434,40.584,143.119,227.215,197.564,166.457,197.797,145.126,187.49,130.285,262.093,170.427
2003,97.777,57.179,149.106,182.682,119.811,155.876,176.475,211.2,181.0,190.489,232.367,170.191
2004,240.554,28.815,192.32,214.788,138.564,94.074,228.366,130.833,195.978,252.729,176.807,86.856
2005,102.757,63.305,128.115,129.843,154.386,119.899,140.635,172.901,150.257,313.367,324.12,227.059
2006,155.862,104.825,136.861,219.038,243.148,271.377,211.692,171.94,172.331,196.769,257.226,154.311
2007,192.683,111.685,174.655,276.577,263.26,227.564,327.186,254.786,196.832,407.832,244.953,330.119
2008,153.936,73.294,245.932,281.105,189.391,313.934,233.871,239.381,187.018,215.74,263.832,202.395
2009,160.588,108.5,238.467,157.786,189.748,161.762,151.906,230.679,220.321,213.791,282.433,226.615
2010,92.689,91.705,176.01,215.904,199.47,340.189,266.517,195.011,230.516,164.025,346.058,200.237
2011,206.205,41.676,172.906,172.037,198.231,163.911,109.209,156.206,286.366,264.207,258.79,226.053
2012,88.581,171.965,195.474,248.118,259.185,99.497,187.253,213.856,146.08,188.93,346.441,248.676
2013,105.411,223.103,118.654,219.231,190.535,99.034,130.35,153.347,181.224,305.571,314.419,303.326
2014,56.776,5.992,78.347,262.262,287.446,112.162,153.412,304.671,133.482,247.142,318.001,747.83
2015,112.935,47.846,118.285,207.642,276.675,177.733,145.361,173.129,135.885,122.272,346.232,147.361
2016,84.983,46.44,92.588,177.509,283.538,168.243,212.419,151.501,171.568,209.677,324.606,198.728
2017,203.624,95.18,194.883,275.697,273.196,150.717,163.074,245.781,241.947,188.93,337.575,177.673
2018,240.263,36.909,128.361,165.319,257.875,167.945,138.323,122.612,236.692,341.391,286.501,219.045
2019,62.374,48.96,130.16,187.875,178.811,248.131,114.637,77.711,110.845,240.039,154.417,122.757
2020,66.736,106.515,143.366,209.659,274.912,190.199,265.816,133.211,244.574,168.443,412.778,178.087
2021,124.094,13.008,171.748,193.971,238.43,197.606,166.268,328.955,182.527,352.349,186.299,140.618
2022,55.213,122.199,146.002,227.644,177.214,240.625,126.428,228.781,185.401,221.891,279.895,177.791
2023,141.25,95.269,153.221,165.963,141.876,166.192,193.798,365.104,277.54,203.959,281.112,348.217
2024,142.232,164.283,188.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
