Year,January,February,March,April,May,June,July,August,September,October,November,December
1940,24.16,24.579,25.694,25.645,26.193,26.484,26.562,26.114,25.628,25.604,24.936,24.232
1941,24.539,25.042,25.555,25.965,26.006,26.522,25.998,26.046,25.386,25.309,25.064,24.725
1942,24.094,24.755,25.372,25.477,26.442,26.399,25.6,25.832,25.314,25.274,24.678,23.891
1943,24.09,24.485,24.785,25.418,26.229,26.895,26.062,25.711,25.307,24.916,24.711,24.041
1944,23.978,24.597,25.229,25.54,25.556,26.116,25.879,26.113,25.615,25.69,25.206,24.848
1945,24.427,24.539,24.199,25.454,26.017,26.051,25.76,25.506,25.779,25.278,24.513,24.387
1946,24.17,23.771,25.343,25.482,25.952,26.337,26.2,26.065,25.68,25.229,25.156,24.862
1947,24.68,24.855,25.345,25.909,25.945,26.161,25.616,25.395,25.125,25.189,24.994,24.189
1948,23.647,24.535,25.6,26.155,25.881,25.857,25.77,25.76,25.734,25.595,24.618,24.469
1949,24.272,24.816,25.799,26.601,26.94,25.956,25.269,25.148,24.703,25.443,25.146,24.831
1950,25.543,25.473,26.05,26.121,26.317,26.121,25.52,25.165,25.608,25.545,25.279,24.783
1951,24.105,24.828,25.222,26.163,26.349,26.29,25.534,26.102,26.106,26.038,25.857,25.105
1952,24.845,25.429,25.752,25.853,26.423,26.116,26.021,26.098,25.807,25.857,25.131,24.553
1953,24.439,24.696,25.404,26.07,26.112,25.981,25.362,25.919,25.82,25.718,25.763,24.95
1954,24.85,24.829,25.43,25.784,26.153,26.093,25.608,25.745,25.787,25.088,24.772,24.365
1955,23.741,25.119,25.475,25.897,26.936,26.644,26.079,25.613,25.373,25.669,25.686,24.272
1956,24.056,24.905,25.571,26.133,26.275,26.356,26.039,25.735,25.424,25.01,24.885,24.406
1957,24.335,24.828,25.335,25.797,25.9,26.67,26.174,26.009,26.103,25.735,25.265,24.549
1958,24.891,24.932,25.827,26.537,26.714,26.825,27.079,25.861,26.15,25.546,24.979,24.725
1959,24.375,25.203,25.522,25.991,26.439,26.305,26.378,26.056,26.309,25.917,25.259,25.165
1960,24.541,24.666,25.81,26.437,27.021,26.731,26.209,26.424,25.994,26.014,25.5,24.8
1961,24.368,25.166,26.098,26.539,27.043,26.59,26.218,26.303,26.133,26.279,25.3,24.854
1962,24.316,24.55,25.415,26.398,27.136,26.536,26.822,25.669,26.136,26.067,25.296,24.797
1963,24.014,23.901,25.407,26.547,26.866,26.768,26.265,26.074,26.086,25.646,25.44,24.584
1964,24.939,24.777,25.501,26.476,27.005,26.512,25.414,26.234,25.936,25.631,25.25,23.748
1965,23.762,24.66,25.045,25.723,26.291,26.293,26.031,25.606,26.068,25.614,25.199,24.922
1966,24.465,24.983,25.894,26.459,26.359,25.901,25.813,25.859,25.797,25.353,25.297,24.97
1967,24.409,24.346,25.095,25.685,26.228,25.966,25.984,26.164,25.945,25.567,24.67,23.976
1968,24.193,24.916,25.35,25.945,26.319,26.341,26.22,26.166,26.089,25.417,24.911,24.785
1969,25.28,25.322,26.001,26.276,26.707,26.472,26.065,25.402,25.938,25.595,25.076,24.348
1970,24.499,24.829,26.153,26.301,26.541,26.607,25.971,25.986,25.811,25.928,25.354,24.962
1971,24.019,24.504,25.217,26.579,26.603,26.438,26.086,25.3,25.957,25.887,24.998,24.359
1972,24.275,25.376,25.599,26.05,26.608,26.389,26.913,26.356,26.122,25.939,25.858,25.094
1973,25.052,25.617,26.079,27.003,27.032,26.974,26.892,26.307,26.178,26.047,25.605,24.47
1974,24.313,24.64,25.298,26.533,26.736,26.47,26.142,26.447,25.838,26.378,25.582,25.246
1975,24.965,25.074,25.99,26.62,26.751,26.771,25.886,26.379,26.038,26.309,25.158,24.897
1976,24.245,25.57,26.297,26.321,26.586,26.24,26.091,26.096,26.168,25.931,25.432,24.817
1977,25.012,24.448,25.267,26.676,27.039,26.782,26.375,26.089,26.149,26.239,25.493,25.264
1978,25.017,25.438,26.509,26.825,27.309,27.325,26.502,26.529,26.256,26.039,25.478,24.847
1979,24.868,25.7,26.616,26.635,27.386,26.762,26.287,26.614,26.192,26.065,25.392,24.965
1980,25.071,25.307,26.26,26.534,27.006,26.845,26.51,25.968,26.179,26.104,25.593,25.038
1981,24.626,25.214,25.837,26.396,26.564,27.01,26.447,26.855,26.024,26.144,26.148,24.675
1982,24.48,25.446,25.897,26.22,26.583,26.872,26.624,26.26,26.096,25.802,25.622,24.812
1983,24.877,25.794,27.083,27.691,27.065,26.95,26.332,26.449,26.174,26.428,25.578,24.241
1984,24.014,24.388,25.192,25.992,26.131,26.109,25.51,26.024,25.495,25.759,24.922,24.54
1985,24.65,25.662,25.333,26.581,26.585,27.165,25.781,26.179,25.644,25.455,25.197,24.804
1986,24.226,25.027,25.187,26.096,26.838,26.685,26.292,26.611,25.743,25.568,25.436,24.803
1987,24.23,24.955,25.921,26.388,26.437,27.167,26.451,26.283,26.311,26.271,26.333,24.989
1988,25.157,25.804,26.132,26.575,27.27,26.764,26.37,25.866,26.161,26.59,25.511,24.627
1989,24.942,25.118,25.491,26.346,26.901,26.841,26.823,26.454,26.041,25.959,25.445,24.702
1990,24.819,25.474,26.375,27.019,27.404,27.259,26.289,26.83,26.329,25.979,26.002,24.766
1991,24.827,25.53,26.215,26.488,26.155,27.154,26.824,26.667,26.421,26.047,24.631,24.245
1992,24.644,25.509,26.192,27.047,26.822,27.082,25.988,26.538,26.333,26.127,24.967,24.542
1993,24.771,25.175,25.442,26.395,26.687,27.109,26.107,26.517,26.197,25.821,25.537,25.208
1994,25.027,25.542,25.312,26.455,26.454,26.609,26.812,26.381,26.575,26.255,24.837,25.291
1995,24.778,24.659,25.974,26.401,26.931,27.213,26.583,26.105,26.606,26.292,25.657,24.78
1996,24.405,24.563,25.68,26.486,26.849,26.685,26.749,26.251,26.483,26.017,26.053,25.026
1997,25.111,25.432,25.794,26.031,27.088,26.84,26.698,26.593,26.332,25.782,25.495,25.068
1998,25.646,26.535,26.95,27.234,27.582,27.411,26.819,26.134,26.544,26.68,26.424,25.253
1999,25.014,25.316,26.067,27.036,26.466,26.515,26.312,25.935,26.137,25.757,25.667,25.15
2000,24.559,25.321,26.074,26.556,27.323,26.439,26.477,25.993,26.168,26.553,25.803,25.52
2001,25.087,25.203,26.113,26.231,26.949,26.808,26.683,26.54,26.218,26.45,25.543,25.101
2002,24.766,25.187,26.14,26.677,27.126,26.928,26.654,26.562,26.34,26.606,25.893,25.688
2003,24.888,25.36,26.446,26.623,27.472,27.208,26.408,26.569,26.48,26.295,25.641,24.9
2004,25.173,25.564,26.234,27.18,27.625,27.222,26.182,26.637,26.207,25.899,25.607,25.074
2005,24.729,26.598,26.53,26.82,27.076,27.351,26.604,26.672,26.844,26.223,25.823,25.732
2006,24.996,25.482,26.532,26.651,26.609,26.26,26.529,26.322,26.068,26.431,25.478,25.112
2007,24.807,25.321,25.839,26.255,26.771,26.549,26.321,26.222,26.262,25.902,25.55,24.895
2008,24.987,25.103,25.084,26.198,26.667,26.294,25.971,26.111,26.262,26.134,25.952,25.185
2009,24.732,25.905,25.983,26.844,27.345,27.171,26.78,26.583,26.839,26.638,25.645,25.104
2010,25.486,26.511,26.521,26.988,27.614,26.885,26.449,26.491,26.324,26.811,25.918,25.273
2011,24.469,25.469,25.778,26.257,26.947,26.791,26.721,26.415,26.538,25.898,25.602,25.081
2012,25.292,25.619,25.959,26.735,27.202,27.388,26.425,26.449,26.503,26.328,25.92,25.245
2013,25.356,25.029,26.331,26.841,26.936,27.786,26.81,26.551,26.351,26.345,25.986,25.229
2014,24.535,25.699,26.388,26.868,27.14,27.757,27.209,26.248,26.892,26.631,25.648,25.269
2015,24.906,24.982,26.115,26.513,26.763,26.918,26.855,26.378,26.635,26.523,25.84,25.839
2016,26.029,25.606,26.625,27.494,27.469,27.228,27.038,27.18,27.106,26.786,25.893,26.076
2017,25.713,25.373,25.917,26.481,27.061,27.009,26.784,26.508,26.548,26.778,26.217,25.796
2018,25.11,25.462,26.381,26.79,26.954,26.981,26.894,26.879,26.676,26.228,26.05,25.943
2019,26.031,26.407,26.942,27.112,27.219,26.75,26.968,27.002,26.926,26.171,26.291,25.315
2020,25.861,25.941,26.859,26.966,27.239,26.558,26.211,26.789,25.968,26.686,25.709,25.631
2021,24.688,25.681,26.164,26.555,26.954,26.785,26.867,26.201,26.538,26.821,26.335,25.742
2022,25.721,25.762,26.715,26.809,27.697,26.491,27.228,26.72,26.557,26.27,26.202,25.591
